"","edo","year","sexo","tipo_enfermedad","tasa"
"331","Guanajuato",2001,"F","trans",61.7
"332","Guerrero",2001,"F","trans",56.8
"333","Hidalgo",2001,"F","trans",56.3
"334","Jalisco",2001,"F","trans",58.9
"335","México",2001,"F","trans",72.9
"336","Michoacán",2001,"F","trans",51.4
"337","Morelos",2001,"F","trans",59.6
"338","Nayarit",2001,"F","trans",52.8
"339","Nuevo León",2001,"F","trans",46.6
"340","Oaxaca",2001,"F","trans",93.5
"341","Puebla",2001,"F","trans",85.4
"342","Querétaro",2001,"F","trans",61.6
"343","Quintana Roo",2001,"F","trans",56.4
"344","San Luis Potosí",2001,"F","trans",58.2
"345","Sinaloa",2001,"F","trans",37.4
"346","Sonora",2001,"F","trans",59.5
"347","Tabasco",2001,"F","trans",62.3
"348","Tamaulipas",2001,"F","trans",42.2
"349","Tlaxcala",2001,"F","trans",76.5
"350","Veracruz",2001,"F","trans",63.7
"351","Yucatán",2001,"F","trans",65.8
"352","Zacatecas",2001,"F","trans",55.2
"353","Aguascalientes",2002,"F","trans",52.9
"354","Baja California",2002,"F","trans",56.9
"355","Baja California Sur",2002,"F","trans",55.1
"356","Campeche",2002,"F","trans",56.8
"357","Coahuila",2002,"F","trans",51.2
"358","Colima",2002,"F","trans",54.9
"359","Chiapas",2002,"F","trans",93.6
"360","Chihuahua",2002,"F","trans",70.9
"361","Distrito Federal",2002,"F","trans",58.7
"362","Durango",2002,"F","trans",40.9
"363","Guanajuato",2002,"F","trans",66.7
"364","Guerrero",2002,"F","trans",52.7
"365","Hidalgo",2002,"F","trans",55.9
"366","Jalisco",2002,"F","trans",61.4
"367","México",2002,"F","trans",70.6
"368","Michoacán",2002,"F","trans",52.7
"369","Morelos",2002,"F","trans",62.1
"370","Nayarit",2002,"F","trans",53.8
"371","Nuevo León",2002,"F","trans",42.2
"372","Oaxaca",2002,"F","trans",98.6
"373","Puebla",2002,"F","trans",89.3
"374","Querétaro",2002,"F","trans",66.8
"375","Quintana Roo",2002,"F","trans",43.2
"376","San Luis Potosí",2002,"F","trans",64.9
"377","Sinaloa",2002,"F","trans",43.9
"378","Sonora",2002,"F","trans",64.2
"379","Tabasco",2002,"F","trans",58.2
"380","Tamaulipas",2002,"F","trans",39.1
"381","Tlaxcala",2002,"F","trans",77
"382","Veracruz",2002,"F","trans",63.4
"383","Yucatán",2002,"F","trans",64.3
"384","Zacatecas",2002,"F","trans",62.5
"385","Aguascalientes",2003,"F","trans",56.9
"386","Baja California",2003,"F","trans",60.5
"387","Baja California Sur",2003,"F","trans",73.6
"388","Campeche",2003,"F","trans",55.8
"389","Coahuila",2003,"F","trans",52.7
"390","Colima",2003,"F","trans",47.2
"391","Chiapas",2003,"F","trans",98.9
"392","Chihuahua",2003,"F","trans",71.9
"393","Distrito Federal",2003,"F","trans",55.2
"394","Durango",2003,"F","trans",41.1
"395","Guanajuato",2003,"F","trans",65.4
"396","Guerrero",2003,"F","trans",54.6
"397","Hidalgo",2003,"F","trans",49.5
"398","Jalisco",2003,"F","trans",62.6
"399","México",2003,"F","trans",68.1
